Gene,LogFC,FDR,Importance,Source
LRRC25,0.2812083115251749,0.0001903822680201,0.0101013773227855,GSE99039
NACC2,0.2068424473987224,0.0009175728344044,0.009951330157783,GSE99039
CA4,0.2370536794724165,0.0012943934714575,0.0099029097173077,GSE99039
MAST3,0.1919237935727018,0.0010251983809662,0.009864945833345,GSE99039
MMP9,0.3827957081545072,0.0012273077485855,0.0098295391843222,GSE99039
CST7,0.2561702292473562,0.0014836144849855,0.0097459857270652,GSE99039
ILK,0.1508625353292156,0.0007888014258782,0.0096910548122597,GSE99039
APOBR,0.2471538783628188,0.0004249570798029,0.0096183991650624,GSE99039
TPD52L2,0.1816583062912169,0.0007498919641179,0.0095997642591313,GSE99039
SH2D3C,0.2110730451167173,0.0009175728344044,0.0095712729973578,GSE99039
MYD88,0.1395368156600014,0.0013812109993086,0.0095449274396882,GSE99039
SLC11A1,0.121631145538922,0.0014836144849855,0.0094699528846603,GSE99039
BCL2,-0.0974838375379461,0.0014527246432859,0.0094025109910985,GSE99039
RAB3D,0.1645985344917822,0.000742954395029,0.0093487121122619,GSE99039
IKBKG,0.1091790013608289,0.0006831939862576,0.0092160852505182,GSE99039
SIRPD,0.1441064796399045,0.0012273077485855,0.0092004893106516,GSE99039
NCF1,0.1710742803307852,0.0010691115953967,0.0091692515206644,GSE99039
TNFAIP2,0.2077263686799941,0.0003496837314286,0.0090826055249052,GSE99039
LTB4R,0.1673847028856547,0.0012619274687026,0.0090351176493245,GSE99039
IL17RA,0.1698533078614055,0.0013778483589375,0.0090135730308091,GSE99039
ABHD2,0.2257545552880433,0.0003666291314058,0.0090072852049815,GSE99039
ZBED1,0.1926497958756412,0.0010921765818503,0.0089155629400255,GSE99039
CMIP,0.1549624760110255,0.0014527246432859,0.0088708857865121,GSE99039
GRN,0.2099978296521154,0.0014836144849855,0.0088250840650998,GSE99039
LSP1,0.2496967026065082,0.0003496837314286,0.0087945118517236,GSE99039
LOC102724984,0.1597952266303774,0.0007498919641179,0.0087486776610236,GSE99039
ZYX,0.3188360515021475,0.0007498919641179,0.0087268906358473,GSE99039
PLIN3,0.2200942740500355,0.0005435184958821,0.0086953105832205,GSE99039
PSTPIP1,0.1655550298335608,0.0014836144849855,0.0086935269392604,GSE99039
RPS6KA1,0.1855174081440402,0.0010147545570134,0.0085749259898404,GSE99039
TRAFD1,0.1195058934366173,0.0007498919641179,0.0084704039498963,GSE99039
FES,0.2041246519417985,0.0011511499559204,0.0084539056602035,GSE99039
ADGRG3,0.3209608290589347,0.0004701915155541,0.0084144003755084,GSE99039
RNF19B,0.3051759133256571,0.0010251983809662,0.0083900854151122,GSE99039
SLC15A3,0.213192902753061,0.0007888014258782,0.0082593472079397,GSE99039
LILRA2,0.2240371506333076,0.0010147545570134,0.0082002914955055,GSE99039
SIRPB1,0.1715294322900318,0.0010921765818503,0.0081865708914332,GSE99039
SLX1B-SULT1A4,0.134704965281414,0.0014969747132701,0.0081724488589466,GSE99039
ATG13,0.1068413552461704,0.0014969747132701,0.008168903582649,GSE99039
FCGRT,0.2182265466345647,0.0009672565065307,0.0081324145288652,GSE99039
TFE3,0.1077393227258465,0.0010691115953967,0.0081235356929315,GSE99039
PREX1,0.1746598555427638,0.0011511499559204,0.0080499392515065,GSE99039
UPF1,0.1322407830001051,0.0010691115953967,0.0079988822265462,GSE99039
IQSEC1,0.1387829687009318,0.0012734346043727,0.0079136367396265,GSE99039
NINJ1,0.2166674761854921,0.001374357579158,0.0078537579353919,GSE99039
TLE3,0.2282112791793169,0.0009672565065307,0.0078215898152156,GSE99039
BRMS1,0.1129505286297503,0.0014836144849855,0.0077646876895126,GSE99039
AGTRAP,0.1707681217069678,0.0009672565065307,0.0077192160522494,GSE99039
CTSD,0.1965386998848535,0.0011144196093399,0.0076612170990137,GSE99039
MIR6837,0.195781576468125,0.0011678518322966,0.007622535879694,GSE99039
PTPN6,0.1914867162148006,0.0010251983809662,0.0075600066907055,GSE99039
GBAP1,0.1632342928922856,0.0013812109993086,0.0074725033212769,GSE99039
PILRA,0.2096216162462063,0.0009694097634448,0.0074290972279171,GSE99039
MYO1F,0.17236526745525,0.0013812109993086,0.0074237520702861,GSE99039
KDM6B,0.2264289793782055,0.0010691115953967,0.0072664550183898,GSE99039
OSCAR,0.248627363131999,0.001428997600323,0.0072374034444149,GSE99039
GRK6,0.1140230869883804,0.0014969747132701,0.0070143626662059,GSE99039
IFITM2,0.1495039778080169,0.0010691115953967,0.0069622273210092,GSE99039
CTDSP1,0.155002637914789,0.0013001656594303,0.0069125970361899,GSE99039
RHOG,0.224625143933844,0.0004237557603132,0.006825277327735,GSE99039
C15orf39,0.2150975400397774,0.0008080691288524,0.0066627096049471,GSE99039
