Gene,LogFC,PValue,FDR,Importance
CST7,0.2561702292473562,6.610545951887468e-06,0.0014836144849855,0.0097459857270652
ILK,0.1508625353292156,1.0514935118578645e-06,0.0007888014258782,0.0096910548122597
APOBR,0.2471538783628188,2.861132832167417e-07,0.0004249570798029,0.0096183991650624
TPD52L2,0.1816583062912169,9.306864183491384e-07,0.0007498919641179,0.0095997642591313
SH2D3C,0.2110730451167173,1.3828677140258937e-06,0.0009175728344044,0.0095712729973578
MYD88,0.1395368156600014,5.294269019186534e-06,0.0013812109993086,0.0095449274396882
SLC11A1,0.121631145538922,6.6150588390532105e-06,0.0014836144849855,0.0094699528846603
BCL2,-0.0974838375379461,6.009892801458731e-06,0.0014527246432859,0.0094025109910985
RAB3D,0.1645985344917822,7.854723551214768e-07,0.000742954395029,0.0093487121122619
IKBKG,0.1091790013608289,6.90887965877679e-07,0.0006831939862576,0.0092160852505182
SIRPD,0.1441064796399045,4.047544349643493e-06,0.0012273077485855,0.0092004893106516
NCF1,0.1710742803307852,2.8856629451695285e-06,0.0010691115953967,0.0091692515206644
TNFAIP2,0.2077263686799941,1.7619319145968332e-07,0.0003496837314286,0.0090826055249052
LTB4R,0.1673847028856547,4.408480240009279e-06,0.0012619274687026,0.0090351176493245
IL17RA,0.1698533078614055,5.130117999261736e-06,0.0013778483589375,0.0090135730308091
ABHD2,0.2257545552880433,2.022316514304997e-07,0.0003666291314058,0.0090072852049815
ZBED1,0.1926497958756412,3.0732478308917e-06,0.0010921765818503,0.0089155629400255
CMIP,0.1549624760110255,6.007511151911645e-06,0.0014527246432859,0.0088708857865121
GRN,0.2099978296521154,6.35776262800671e-06,0.0014836144849855,0.0088250840650998
LSP1,0.2496967026065082,1.7681089614868353e-07,0.0003496837314286,0.0087945118517236
LOC102724984,0.1597952266303774,8.390418900511818e-07,0.0007498919641179,0.0087486776610236
ZYX,0.3188360515021475,9.1598086135629e-07,0.0007498919641179,0.0087268906358473
PLIN3,0.2200942740500355,5.246558682383531e-07,0.0005435184958821,0.0086953105832205
PSTPIP1,0.1655550298335608,6.3690979654001086e-06,0.0014836144849855,0.0086935269392604
RPS6KA1,0.1855174081440402,2.027362207599441e-06,0.0010147545570134,0.0085749259898404
TRAFD1,0.1195058934366173,9.017984172149502e-07,0.0007498919641179,0.0084704039498963
FES,0.2041246519417985,3.461412514607024e-06,0.0011511499559204,0.0084539056602035
ADGRG3,0.3209608290589347,3.5781564896280975e-07,0.0004701915155541,0.0084144003755084
RNF19B,0.3051759133256571,2.5447351216814467e-06,0.0010251983809662,0.0083900854151122
SLC15A3,0.213192902753061,1.028123862184334e-06,0.0007888014258782,0.0082593472079397
LILRA2,0.2240371506333076,2.052364996947427e-06,0.0010147545570134,0.0082002914955055
SIRPB1,0.1715294322900318,3.112615402193479e-06,0.0010921765818503,0.0081865708914332
SLX1B-SULT1A4,0.134704965281414,6.864422934198735e-06,0.0014969747132701,0.0081724488589466
ATG13,0.1068413552461704,6.8810605068724725e-06,0.0014969747132701,0.008168903582649
FCGRT,0.2182265466345647,1.619865509426051e-06,0.0009672565065307,0.0081324145288652
TFE3,0.1077393227258465,2.7213869502340104e-06,0.0010691115953967,0.0081235356929315
PREX1,0.1746598555427638,3.492341856619108e-06,0.0011511499559204,0.0080499392515065
UPF1,0.1322407830001051,2.906481307724893e-06,0.0010691115953967,0.0079988822265462
IQSEC1,0.1387829687009318,4.5072151016642e-06,0.0012734346043727,0.0079136367396265
NINJ1,0.2166674761854921,5.053946510348904e-06,0.001374357579158,0.0078537579353919
TLE3,0.2282112791793169,1.590375376274665e-06,0.0009672565065307,0.0078215898152156
BRMS1,0.1129505286297503,6.515771970320213e-06,0.0014836144849855,0.0077646876895126
AGTRAP,0.1707681217069678,1.6196009805356963e-06,0.0009672565065307,0.0077192160522494
CTSD,0.1965386998848535,3.2272321483987792e-06,0.0011144196093399,0.0076612170990137
MIR6837,0.195781576468125,3.596693760693049e-06,0.0011678518322966,0.007622535879694
PTPN6,0.1914867162148006,2.321335853953416e-06,0.0010251983809662,0.0075600066907055
GBAP1,0.1632342928922856,5.445353337775912e-06,0.0013812109993086,0.0074725033212769
PILRA,0.2096216162462063,1.8259629892772964e-06,0.0009694097634448,0.0074290972279171
MYO1F,0.17236526745525,5.490968616432488e-06,0.0013812109993086,0.0074237520702861
KDM6B,0.2264289793782055,2.9485955285591403e-06,0.0010691115953967,0.0072664550183898
OSCAR,0.248627363131999,5.780362621394107e-06,0.001428997600323,0.0072374034444149
GRK6,0.1140230869883804,6.775407398030567e-06,0.0014969747132701,0.0070143626662059
IFITM2,0.1495039778080169,2.916131956348788e-06,0.0010691115953967,0.0069622273210092
CTDSP1,0.155002637914789,4.721355416915495e-06,0.0013001656594303,0.0069125970361899
RHOG,0.224625143933844,2.5322109326922946e-07,0.0004237557603132,0.006825277327735
C15orf39,0.2150975400397774,1.1143219427981452e-06,0.0008080691288524,0.0066627096049471
SLC44A2,0.1642001256149896,5.421476197216576e-06,0.0013812109993086,0.0066275803088487
SPI1,0.3113553229352046,2.512556835856784e-06,0.0010251983809662,0.0066178780260509
S100A11,0.1894135454830952,3.6673665233812746e-06,0.0011732876281788,0.0059396906194916
MGRN1,0.1861656652360519,5.107534864173448e-07,0.0005435184958821,0.0059334683471797
FGR,0.1971408772113481,5.523574210059863e-06,0.0013812109993086,0.0058553525837547
TFEB,0.1620913325656854,5.442913335940151e-06,0.0013812109993086,0.0056090839087391
