Gene,log2FC,p_value,FDR
ENSG00000140598,0.49731118673475994,0.047025977927889144,0.48882457721850875
ENSG00000259250,0.8920381966153137,0.0007984519191439767,0.48882457721850875
ENSG00000137845,1.0280570743652824,0.010667849891939786,0.48882457721850875
ENSG00000227678,0.6789330145880359,0.05142107826496602,0.48882457721850875
ENSG00000203760,0.8777494138373467,0.003496115402568936,0.48882457721850875
ENSG00000118518,0.7567673983523209,0.028233394844650688,0.48882457721850875
ENSG00000272374,0.4273041486842519,0.05076298640264688,0.48882457721850875
ENSG00000096060,0.6172770595624808,0.047838372114047976,0.48882457721850875
ENSG00000096063,0.6031464460424854,0.03824821794336285,0.48882457721850875
ENSG00000204103,0.6364103733105191,0.03786984473257822,0.48882457721850875
ENSG00000229771,0.3333333333333333,0.0388140918231123,0.48882457721850875
ENSG00000079950,0.7987250084295461,0.03066807624528456,0.48882457721850875
ENSG00000179073,0.47957395851362233,0.04258860413873226,0.48882457721850875
ENSG00000243810,0.47957395851362233,0.04258860413873226,0.48882457721850875
ENSG00000146376,0.7634620152804485,0.021761959268498863,0.48882457721850875
ENSG00000256913,0.6967445635366303,0.04042174571469378,0.48882457721850875
ENSG00000128923,0.8842839526278068,0.04699896197795037,0.48882457721850875
ENSG00000157450,0.8083605624548538,0.025948893163409842,0.48882457721850875
ENSG00000137776,0.7389777967329998,0.019961112987802333,0.48882457721850875
ENSG00000116688,0.5374646287594214,0.02459428672242888,0.48882457721850875
ENSG00000225196,0.4427318453582879,0.048197006353669525,0.48882457721850875
ENSG00000137871,0.8639226964924056,0.043395781733918656,0.48882457721850875
ENSG00000128918,1.0504832482926254,0.03221651581622553,0.48882457721850875
ENSG00000178726,1.3093747348148677,0.0019172662417264355,0.48882457721850875
ENSG00000125810,0.881814400414834,0.0044965725960834264,0.48882457721850875
ENSG00000088930,0.5116372036468047,0.040243824558374164,0.48882457721850875
ENSG00000237649,0.6209654030849041,0.004429291628386286,0.48882457721850875
ENSG00000103569,0.5308047782949536,0.005623019931989748,0.48882457721850875
ENSG00000252969,0.4427318453582879,0.048197006353669525,0.48882457721850875
ENSG00000184900,0.38344550133480304,0.047103004040579176,0.48882457721850875
ENSG00000160255,0.4449570356956212,0.008402725690101026,0.48882457721850875
ENSG00000183250,0.5355202593535768,0.05062605714200023,0.48882457721850875
ENSG00000160256,0.33588606748131955,0.04846537175005456,0.48882457721850875
ENSG00000259387,0.8745131000294628,0.04334316490919064,0.48882457721850875
ENSG00000234515,0.8120831998448035,0.044985066833545105,0.48882457721850875
ENSG00000204256,0.42437818963219875,0.044185071296367714,0.48882457721850875
ENSG00000200534,1.0849845111292828,0.002570169839280127,0.48882457721850875
ENSG00000220378,-0.9715404789100496,0.03556693084798774,0.48882457721850875
ENSG00000197442,0.5715091628844835,0.035530010597837926,0.48882457721850875
ENSG00000093144,0.7695580038722749,0.030288753100855857,0.48882457721850875
ENSG00000010295,0.3672104100866722,0.04855583194789006,0.48882457721850875
ENSG00000101343,0.579490873648016,0.010759712620558566,0.48882457721850875
ENSG00000118513,0.7867215740803726,0.03069775356611462,0.48882457721850875
ENSG00000231028,-0.5242750002060446,0.020557998367323294,0.48882457721850875
ENSG00000029363,0.8748426433010064,0.030493111092810162,0.48882457721850875
