Gene,PD_mean,CC_mean,Difference
ENSG00000227827,3.665296134316225,1.9484355139106324,1.7168606204055925
ENSG00000134769,3.083654148404067,1.38612649705944,1.697527651344627
ENSG00000153140,4.224450635962277,2.5449845759018763,1.6794660600604003
ENSG00000118276,3.8284664235154295,2.1493952640819916,1.679071159433438
ENSG00000163083,4.359438150167931,2.6819303274587996,1.6775078227091318
ENSG00000122970,3.380725055025131,1.7289818821802976,1.6517431728448335
ENSG00000224114,4.350376532825737,2.7010115765157585,1.6493649563099786
ENSG00000153012,3.282560929541267,1.6400704368685186,1.6424904926727486
ENSG00000188158,5.828232191986313,4.198628476569409,1.6296037154169039
ENSG00000259628,2.48628793617295,0.8603138656684609,1.6259740705044892
ENSG00000168772,2.3488494627585634,0.7248003517815877,1.6240491109769757
ENSG00000268433,3.9583267154393194,2.3436432358671566,1.6146834795721627
ENSG00000269951,2.651311590702717,1.0443668652339029,1.6069447254688143
ENSG00000058335,2.8595307728914645,1.256795778910121,1.6027349939813436
ENSG00000096696,3.9716564603652,2.3695590281348866,1.6020974322303134
ENSG00000182389,5.842526978054163,4.25775505054862,1.5847719275055434
ENSG00000171714,3.8723010418472703,2.2930292181041465,1.5792718237431238
ENSG00000198121,5.92385650937521,4.34815534491212,1.5757011644630898
ENSG00000197576,2.0610139521386155,0.4933493282577513,1.5676646238808642
ENSG00000197582,5.5263058552053534,7.083497569492043,-1.5571917142866898
ENSG00000187534,5.546813065828871,3.992045887455819,1.5547671783730515
ENSG00000106341,3.939963064864395,2.396590005977843,1.543373058886552
ENSG00000256020,3.1596649915994353,4.678704690646883,-1.5190396990474482
ENSG00000231249,1.957625069404837,0.44491562074970575,1.5127094486551311
ENSG00000111907,3.087851688325614,1.5778763666503022,1.5099753216753118
ENSG00000111886,3.0100714544114715,1.5038639657536248,1.5062074886578467
ENSG00000256937,2.0792737262472474,0.576915399789345,1.5023583264579023
ENSG00000189420,2.1395044535523424,0.641234280249994,1.4982701733023485
ENSG00000244398,3.1061179435341564,1.6120477638128932,1.4940701797212632
ENSG00000173930,5.46995442661049,3.9921703861503546,1.477784040460135
ENSG00000106328,2.988151920591988,1.51078264712881,1.4773692734631783
ENSG00000229017,2.6240250172564488,1.15383079957869,1.4701942176777587
ENSG00000232926,3.21052718694731,1.7573237246604847,1.4532034622868253
ENSG00000211655,1.4545021772866151,2.902302142856197,-1.4477999655695817
