Gene,Coefficient,Abs_Coefficient
ITPK1-AS1,0.0169909787889855,0.0169909787889855
CLK1,-0.0169448244760156,0.0169448244760156
ZDHHC17,-0.0168375792221198,0.0168375792221198
NUDT6,0.0167608286449643,0.0167608286449643
TWF1,-0.0166641718318839,0.0166641718318839
KLHL32,-0.0166245860512365,0.0166245860512365
ZNF23,0.016494540486706,0.016494540486706
CYP51A1,0.0164838165572007,0.0164838165572007
RBMY2SP,0.0164400110414309,0.0164400110414309
PDGFC,0.0164119186023376,0.0164119186023376
AGL,-0.0161912411851429,0.0161912411851429
HYCC2,-0.016103633611291,0.016103633611291
COLEC12,0.0160798558939548,0.0160798558939548
ENSG00000255837,-0.0160475444787937,0.0160475444787937
RRM2B,-0.0160313154355728,0.0160313154355728
DNAJC9-AS1,0.0159881356262054,0.0159881356262054
KCNIP4,-0.0158780210109938,0.0158780210109938
SPOPL,-0.0158743690263362,0.0158743690263362
SEMA3C,-0.0157494235632868,0.0157494235632868
RGS18,-0.0157001669929027,0.0157001669929027
EVI2A,-0.0155544135093076,0.0155544135093076
ZNF721,-0.0154920446391813,0.0154920446391813
LEMD3,-0.0153919346729362,0.0153919346729362
PPP4R2,-0.0150311999081066,0.0150311999081066
ENSG00000265579,0.0150303763945307,0.0150303763945307
TMX3,-0.0149198000974208,0.0149198000974208
ENSG00000255733,-0.0149103456290751,0.0149103456290751
ENSG00000115896,-0.014781062652089,0.014781062652089
ENSG00000246130,-0.0147113264921618,0.0147113264921618
ROCK1,-0.0147038056689251,0.0147038056689251
KLHDC1,-0.0146205535498548,0.0146205535498548
EGR2,0.0145826015801392,0.0145826015801392
KL,0.0145678613051631,0.0145678613051631
HDGFL3,0.0141223408832006,0.0141223408832006
CYP1B1,-0.0140668243644519,0.0140668243644519
RPS15AP24,0.0138073891404301,0.0138073891404301
ENSG00000123119,-0.0138022074460627,0.0138022074460627
RB1CC1,-0.0136482358956133,0.0136482358956133
ENSG00000238465,0.0135779138351819,0.0135779138351819
CCDC15,0.0135154718738804,0.0135154718738804
RBMS1P1,-0.0135084657222253,0.0135084657222253
H2BC19P,0.013395777789114,0.013395777789114
FPGT,-0.0133005462656931,0.0133005462656931
ZBTB11,-0.0132184592608907,0.0132184592608907
