Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
ABCE1,1997.887,978.353,1029.548,1951.244,856.927,1647.53,444.997,1391.05,1757.955,1373.706
ABCE1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCE1P2,0.0,0.0,1.041,0.0,1.044,0.0,0.0,0.0,0.0,0.0
ABCE1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF1,446.762,294.618,402.606,604.565,47.949,624.591,64.507,467.407,450.799,310.516
ABCF2,1513.008,967.947,1017.315,1879.992,908.811,1554.822,836.71,1254.304,1395.32,1201.565
ABCF2P1,2.007,0.0,2.008,3.015,0.0,2.02,0.0,0.0,4.037,2.019
ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,1803.998,1191.0,1317.0,2265.999,1258.001,1927.0,867.0,1450.0,1734.002,1239.999
ABCG1,1232.993,648.704,739.513,952.793,562.782,1129.549,714.305,1011.451,1102.19,931.499
ABCG2,1446.999,1240.001,1792.999,1650.0,1020.0,1427.0,1382.0,1432.0,1580.999,2087.0
ABCG4,303.0,190.0,179.0,447.001,316.0,411.999,58.0,230.0,284.0,156.0
ABCG5,4.0,5.024,2.0,8.0,5.0,3.051,0.0,6.0,8.045,7.0
ABCG8,12.0,4.0,2.0,14.0,9.0,8.0,0.0,4.0,7.0,7.0
ABHD1,101.697,80.48,112.997,168.505,77.286,184.394,72.018,104.941,140.498,152.523
ABHD10,926.0,674.999,650.0,1027.999,542.001,991.001,316.0,830.0,986.001,924.001
ABHD11,370.45,225.321,259.213,363.89,204.278,328.794,120.583,245.239,272.482,185.97
ABHD12,3101.0,2346.0,2349.001,3908.001,1869.0,3218.001,1589.0,2364.0,2847.001,2521.0
ABHD12B,137.092,223.799,85.567,114.301,67.893,133.816,70.12,97.547,131.962,126.91
ABHD13,461.0,241.0,269.0,486.0,204.0,381.0,164.0,370.0,406.0,434.0
