,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000021762,721.5292483511141,-0.48586104227962795,0.12967989302805855,-3.7466181605694517,0.0001792345960785832,0.03460972465871403
ENSG00000260280,358.86451144373245,0.7915040901356191,0.21157289856266562,3.741046681842306,0.0001832554755862199,0.03492798811744067
ENSG00000231013,16.07259034444602,-1.8329484756023653,0.49021210571748813,-3.739092638113477,0.00018468566428741874,0.03492798811744067
ENSG00000188269,190.04307614676847,1.7359158239900405,0.4644297958373968,3.737735691268629,0.00018568499640802557,0.03492798811744067
ENSG00000188283,518.9383447370426,0.3721151385958012,0.09976410190807976,3.7299502674685443,0.000191517568906844,0.03571720814997723
ENSG00000144891,42.08108630643301,-1.8302502298208523,0.49127377234647995,-3.7255199297104635,0.00019491305121410369,0.036042396419421543
ENSG00000146733,482.67949908771345,0.5902707587447813,0.15870825372881003,3.7192190379297867,0.0001998397004151193,0.03664287616015044
ENSG00000257315,586.9771177884755,0.5099348811444601,0.137393954478714,3.7114797596386424,0.00020605114655763068,0.03730990665778377
ENSG00000118482,2433.3484003033404,0.25110390706707947,0.06767492197193777,3.7104425058842745,0.00020689728256607866,0.03730990665778377
ENSG00000184451,64.96606107369942,-0.6344393000733591,0.1712447485070113,-3.7048686491392364,0.00021150030304674969,0.037827349282623594
ENSG00000165156,1784.3076076634065,0.3948092534529244,0.10699455134231108,3.6899940090388204,0.0002242593332885951,0.03978324107607435
ENSG00000205212,21.125050352288955,-1.413592791272593,0.38403539205056675,-3.6808919712443124,0.00023241946789870265,0.040898328947981386
ENSG00000261616,89.884774609466,0.8319751865293291,0.22632433207683864,3.6760306719777174,0.00023689105391436663,0.04135170237129184
ENSG00000123700,1061.5093811278743,0.6557577697909324,0.17865565960548085,3.6705121530379707,0.0002420649596258039,0.04191950332567493
ENSG00000146540,884.9823051342591,-0.4937901524264667,0.13469672130535412,-3.665940400338748,0.00024643131835697145,0.042339617059441864
ENSG00000108256,2835.0259199295347,0.4422050102287516,0.12083562358998007,3.659558308146308,0.00025265035214260077,0.043068989716808975
ENSG00000006015,810.957816612646,-0.5036713648651319,0.1378284891074172,-3.6543342245636423,0.0002578502001214788,0.043614661756981914
ENSG00000163873,991.7792994280595,-0.6275383199206904,0.1718886872642869,-3.6508413084557505,0.0002613827093654452,0.043835052465253786
ENSG00000143761,4735.705255941504,-0.30147041860139046,0.08261523533630447,-3.6490898727599723,0.0002631710299243009,0.043835052465253786
ENSG00000267432,290.81452293638444,-1.3256067030938978,0.36364128901172915,-3.645369057778092,0.0002670083428480152,0.043878121717060264
ENSG00000273214,9.95898611539059,-2.0328562009864477,0.5579378841012064,-3.6435170633039506,0.00026893781452569235,0.043878121717060264
ENSG00000232527,54.11221670585172,-0.9205055675014928,0.2526768014317327,-3.6430157508946923,0.00026946234235041596,0.043878121717060264
ENSG00000196118,136.1362705462762,-0.7164333785738494,0.19683037015783172,-3.639851807418567,0.0002727949938761643,0.044091753825021514
ENSG00000180573,957.1113120262464,0.7702598512019772,0.21198443114346588,3.6335680268929,0.000279528704339293,0.0448479141814954
ENSG00000198633,20.56809641017218,-1.0978139931039286,0.30244042048085484,-3.6298520923840027,0.0002835836697496135,0.045166391780558875
ENSG00000116679,4251.815852943615,0.39704066669170424,0.1096010522797237,3.622599039271789,0.0002916577352043347,0.045783969655817144
ENSG00000174579,840.8112135544634,0.33975576266776764,0.0937827192959843,3.6227970911728056,0.0002914344338033207,0.045783969655817144
ENSG00000100983,580.4559590751223,-0.6625443431619086,0.18299365409135293,-3.620586443020354,0.0002939360237785927,0.04581202884892067
ENSG00000070423,445.79276656328904,-0.27944985123735255,0.0773500721100815,-3.612793674447398,0.00030291573029974137,0.046546628416481384
ENSG00000120509,694.7722535425912,-0.3370741396471178,0.09327142239169181,-3.6139058567326283,0.0003016186181224247,0.046546628416481384
ENSG00000162910,387.51240326049685,-0.4735376574790757,0.13134489534692462,-3.6052992864953652,0.00031179339276375846,0.047070925010874225
ENSG00000155367,101.57015952950461,-0.866912912089421,0.24051100044430898,-3.604462625359863,0.00031279945584678106,0.047070925010874225
ENSG00000137285,11678.916951421214,-0.4826130736491085,0.13382231260001115,-3.6063722429578475,0.00031050762424547,0.047070925010874225
ENSG00000255693,79.7035135483626,-0.9457693250722045,0.26278806403175237,-3.598981287665821,0.00031946617304213256,0.047744875998488576
ENSG00000226751,29.47520784276565,1.2879834878202894,0.3586060208000921,3.591639328716922,0.0003286044175529217,0.048776519666698985
ENSG00000145248,197.634755530213,-1.2533160227577624,0.34923682737672235,-3.588728119459774,0.00033229515794301644,0.04899108342105823
ENSG00000164283,23.308478078341928,-2.8968375940524456,0.8090048594454581,-3.580741895713849,0.0003426199800192219,0.04901290306362174
ENSG00000261596,23.722012679633842,1.115302090820233,0.3114717636232357,3.5807486298158677,0.0003426111489148391,0.04901290306362174
ENSG00000169762,1306.9314378361007,0.30104897024402594,0.08395872858922547,3.585678050425599,0.0003362035254321237,0.04901290306362174
ENSG00000138035,1753.2370378764372,0.39627205257419473,0.11069240164565915,3.579939062508675,0.0003436743432050471,0.04901290306362174
ENSG00000196923,365.72742878780275,-0.6167508748073957,0.17225177061194807,-3.5805197973658176,0.00034291135924902733,0.04901290306362174
ENSG00000154277,11606.422656737992,-0.6927523027217413,0.19403336903253932,-3.5702740522201983,0.0003566079423466586,0.050527177285740854
ENSG00000139410,268.5290368648051,-0.6895475056797129,0.1934386953280615,-3.5646823636309057,0.0003642970915198899,0.05116195606894654
ENSG00000225670,122.41450083330221,-0.6221555894704588,0.17458535353351212,-3.563618464426538,0.00036577750443426494,0.05116195606894654
ENSG00000157240,358.6877432849987,0.34323218677586553,0.09653006389663692,3.5557024715470393,0.0003769705001881723,0.05206010325383493
ENSG00000138107,3866.3995464474588,-0.28969939215455925,0.08147074511162561,-3.5558701685817784,0.0003767300976526414,0.05206010325383493
ENSG00000169018,2441.6557407961727,0.347497507328143,0.09809894643525201,3.542316405584446,0.000396629412966973,0.05443052698703995
ENSG00000172262,544.7886258987712,0.32632495879446916,0.0922222541266377,3.5384621844784494,0.0004024649238935509,0.054886153995983004
ENSG00000283341,179.15855700855792,0.5808360893960359,0.16422793046640147,3.536768001316719,0.00040505530690299583,0.05489631550697744
ENSG00000087053,1824.2611392047008,0.35198969504141203,0.09966173066408536,3.531844095983143,0.00041267257581312884,0.054905582952698
ENSG00000023839,32.43893589700726,1.1278834640247088,0.3191466034537027,3.5340606850241043,0.00040922710856401055,0.054905582952698
ENSG00000170043,1183.1357351176925,-0.44049310019006166,0.12471092918535567,-3.532113047889848,0.00041225307719880324,0.054905582952698
ENSG00000127585,1576.6830575774409,-0.7261142250813107,0.20570667688248134,-3.5298524874626906,0.0004157914235106043,0.054985265824250826
ENSG00000156869,37.785201743296966,1.245356079581055,0.3533788894608014,3.5241383023226582,0.0004248624273649379,0.055835289012978566
ENSG00000215845,67.49808691879602,-0.8632735548282718,0.24506720545777755,-3.522599252787434,0.0004273369965704593,0.055835289012978566
ENSG00000188033,88.70447626971603,0.5097819799899365,0.14535583523861573,3.507131166444607,0.0004529658127569548,0.05883163115688544
ENSG00000240616,19.144209912994565,1.0563546472737009,0.3016718509444381,3.501667934766178,0.00046235548462099043,0.0590792914384479
ENSG00000021488,21.62443009704744,1.16987374604444,0.33392936017448693,3.503356953797504,0.0004594333439328382,0.0590792914384479
ENSG00000141349,962.0922205444452,-0.45174409113513203,0.12902183969334496,-3.5012994095327046,0.00046299536370186025,0.0590792914384479
ENSG00000111057,170.6395473372565,-1.4736965815377083,0.4214311051278016,-3.4968861187662,0.0004707227337783484,0.05971610494792769
ENSG00000122884,1393.0798593954357,0.9374568530957298,0.26862850134542154,3.4897892382993323,0.0004834016273293862,0.059950109297484525
ENSG00000278532,16.82585338598845,-1.4718457601907662,0.4217681764186923,-3.4897032125289,0.00048355725189538386,0.059950109297484525
ENSG00000165175,7982.399809297584,0.9378561336344461,0.26871615174428015,3.490136813684886,0.0004827733230317168,0.059950109297484525
